travelTimeMeta_ID,DGWT
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,3.3
17,0
18,0
19,0
20,0
21,0.5
22,1
23,0
24,0
25,0
26,0
27,1.7
28,1.2
29,0.1
30,1.1
31,0.6
32,1.4
33,1.4
34,1.1
35,0
36,0
37,0
38,0
39,1.8
40,0.7
41,0.7
42,1.1
43,0
44,0.85
45,1.7
46,0
47,2.1
48,2
49,1.5
50,1.5
51,1
52,1
53,2.1
54,1
55,2.1
56,1.4
57,1.7
58,0
59,0
60,2.1
61,0
62,0
63,3.1
64,2.8
65,3.4
66,2
67,3.3
68,0
69,0
70,0
71,4
72,0
73,0
74,2.2
75,3.8
76,0
77,1.9
78,1.9
79,2.1
80,2.5
81,2.3
82,2.3
83,1.6
84,2.7
85,2.3
86,0
87,0
88,2.6
89,1.1
90,1.9
91,2
92,0
93,0
94,1.1
95,0
96,2.2
97,1.8
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
